"X","Track.Name","Artist","id","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","Streams","popularity"
24,"Champagne Poetry","Drake","2HSmyk2qMN8WQjuGhaQgCk",0.758,0.423,336511,0.667,0,6,0.246,-7.012,0,0.326,86.743,4,0.496,4400834,86
25,"Moon","Kanye West","2Rd4eJ4KwXQQn2sMSToyUM",0.898,0.319,156091,0.236,1.62e-05,5,0.272,-9.644,1,0.0318,162.351,4,0.254,4285666,80
26,"Pepas","Farruko","5fwSHlTEWpluwOM0Sxnh5k",0.00776,0.762,287120,0.766,6.98e-05,7,0.128,-3.955,1,0.0343,130.001,4,0.442,4245201,96
27,"traitor","Olivia Rodrigo","5CZ40GBx1sQ9agT82CLQCT",0.691,0.38,229227,0.339,0,3,0.12,-7.885,1,0.0338,100.607,4,0.0849,4092030,93
28,"TALES OF DOMINICA","Lil Nas X","5S4PZ7AuYlYiVIVik3wHUf",0.629,0.742,146006,0.734,0.00314,8,0.0834,-5.582,0,0.0407,114.952,4,0.541,3972210,80
29,"Beggin'","Måneskin","3Wrjm47oTz2sjIgck11l5e",0.127,0.714,211560,0.8,0,11,0.359,-4.808,0,0.0504,134.002,4,0.589,3910613,96
30,"SUN GOES DOWN","Lil Nas X","6btdl1Vl6Ta5lUwUSOFW2H",0.0792,0.549,168034,0.643,1.21e-05,9,0.107,-6.808,1,0.0543,174.041,4,0.123,3907378,78
31,"LOST IN THE CITADEL","Lil Nas X","6th8IdY4lYeM0QlSQJhhkp",0.0963,0.768,170323,0.764,1.03e-05,0,0.114,-5.82,1,0.0295,92.965,4,0.472,3848998,78
32,"Levitating (feat. DaBaby)","Dua Lipa","5nujrmhLynf4yMoMtj8AQF",0.00883,0.702,203064,0.825,0,6,0.0674,-3.787,0,0.0601,102.977,4,0.915,3841670,88
33,"ONE OF ME (feat. Elton John)","Lil Nas X","3JR2RztQcOjUQGQSybxDIO",0.202,0.708,161667,0.598,0,3,0.183,-4.969,0,0.0617,144.09,4,0.561,3834647,78
34,"Get Into It (Yuh)","Doja Cat","0W6I02J9xcqK8MtSeosEXb",0.315,0.912,138293,0.655,3.39e-05,8,0.0894,-6.029,0,0.162,91.942,4,0.793,3794632,89
35,"No Friends In The Industry","Drake","2tUL6dZf1mywCj5WvCPZw6",0.0181,0.84,204347,0.744,0,1,0.629,-4.751,1,0.113,83.737,4,0.171,3781893,85
36,"Dark Red","Steve Lacy","37y7iDayfwm3WXn5BiAoRk",0.449,0.603,173104,0.783,7.96e-06,6,0.119,-4.023,1,0.062,172.041,4,0.775,3770178,89
37,"Fancy Like","Walker Hayes","0lnpnsrVaW9elGgRxpDCgE",0.114,0.649,161853,0.76,0,1,0.317,-6.487,1,0.0574,80.018,4,0.843,3480714,70
38,"RAPSTAR","Polo G","18vXApRmJSgQ6wG2ll9AOg",0.41,0.789,165926,0.536,0,6,0.129,-6.862,1,0.242,81.039,4,0.437,3448064,80
39,"Off The Grid","Kanye West","2gbMPBrBVj3CuNTLp2dHYs",0.0438,0.546,339250,0.64,0,8,0.137,-5.582,1,0.37,137.728,4,0.63,3447024,80
40,"AM I DREAMING (feat. Miley Cyrus)","Lil Nas X","6isTQfKXhNO3EyJd9mSxx8",0.77,0.629,183241,0.445,2.92e-06,3,0.351,-6.999,1,0.0258,94.103,4,0.209,3385403,79
41,"DONT WANT IT","Lil Nas X","4vsJWPwWPS27gRM4oLjBNO",0.12,0.549,130927,0.7,0,4,0.133,-6.07,0,0.0392,82.604,4,0.212,3319393,79
42,"deja vu","Olivia Rodrigo","6HU7h9RYOaPRFeh0R3UeAr",0.584,0.442,215507,0.612,5.7e-06,2,0.37,-7.222,1,0.112,180.917,4,0.178,3254236,90
43,"Ain't Shit","Doja Cat","5lAnYvAIkSDNXqfo7DyFUm",0.506,0.855,174253,0.488,0,3,0.347,-4.601,1,0.208,124.097,4,0.619,3184608,87
44,"Wants and Needs (feat. Lil Baby)","Drake","65OVbaJR5O1RmwOQx0875b",0.0618,0.578,192956,0.449,2.17e-06,1,0.119,-6.349,1,0.286,136.006,4,0.1,3165332,85
45,"TSU","Drake","4s7QLoImIwmPi9L6dq1nVW",0.228,0.568,308756,0.56,3.05e-06,9,0.39,-9.059,1,0.42,130.019,4,0.246,3145983,83
46,"Sharing Locations (feat. Lil Baby & Lil Durk)","Meek Mill","3J4VKkUpLvomXJbn9ZAypO",0.00383,0.681,161053,0.63,0,1,0.139,-5.585,1,0.0385,151.951,4,0.183,3066604,83
47,"Freaks","Surf Curse","7EkWXAI1wn8Ii883ecd9xr",3.84e-05,0.345,147062,0.941,0.633,9,0.0511,-9.918,1,0.0466,179.626,4,0.407,3008104,89
48,"Sweater Weather","The Neighbourhood","2QjOHCTQ1Jl3zawyYOpxh6",0.0495,0.612,240400,0.807,0.0177,10,0.101,-2.81,1,0.0336,124.053,4,0.398,2978344,90
49,"Have Mercy","Chlöe","5SixeLvPsYpk7qq9lo5xYg",0.297,0.903,148779,0.535,0,9,0.345,-6.434,1,0.0742,130.022,4,0.508,2945117,86
50,"VOID","Lil Nas X","3e6ebtUCZ0tZL1J7wvM8Xi",0.626,0.609,248407,0.438,0.00011,6,0.103,-8.486,0,0.0311,139.875,4,0.176,2928489,75
51,"Lonely (with Lil Wayne)","DaBaby","6pmNoWKk0r6zfIjWneJRxR",0.0884,0.718,154433,0.628,0,0,0.186,-5.334,1,0.373,139.769,4,0.771,2866055,81
52,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber","4iJyoBOLtHqaGxP12qzhQI",0.321,0.677,198082,0.696,0,0,0.42,-6.181,1,0.119,90.03,4,0.464,2864963,92
53,"Jugaste y Sufrí","Eslabon Armado","3NqBxTOMCJ3zW9CIP51td4",0.632,0.39,275194,0.499,0.000497,7,0.115,-7.778,1,0.0381,200.156,1,0.34,2856987,87
54,"drivers license","Olivia Rodrigo","5wANPM4fQCJwkGd4rN57mH",0.768,0.561,242013,0.431,1.42e-05,10,0.106,-8.81,1,0.0578,143.875,4,0.137,2742002,91
55,"LIFE AFTER SALEM","Lil Nas X","6D3t4w54PgLNGQ48R7th7R",0.0141,0.392,210682,0.579,4.87e-05,0,0.101,-5.284,0,0.0354,143.664,4,0.253,2694516,75
56,"In The Bible (with Lil Durk & Giveon)","Drake","61S79KIVA4I9FXbnsylEHT",0.614,0.686,296568,0.385,0,7,0.131,-8.35,0,0.297,143.07,4,0.147,2650393,83
57,"N 2 Deep","Drake","34D6FJysnQioVingDKufuf",0.0518,0.507,273578,0.429,0,2,0.109,-7.726,1,0.326,91,3,0.0744,2627479,82
58,"A-O-K","Tai Verdes","1sx0XsWUusUoPstbvokZjP",0.125,0.731,173640,0.626,0,11,0.183,-6.919,1,0.0805,82.488,4,0.862,2627149,78
59,"Papi’s Home","Drake","6jy9yJfgCsMHdu2Oz4BGKX",0.112,0.701,178623,0.741,0,2,0.699,-6.157,1,0.313,140.177,4,0.588,2588082,83
60,"No Role Modelz","J. Cole","62vpWI1CHwFy7tMIcSStl8",0.301,0.692,292987,0.521,0,10,0.0565,-8.465,0,0.33,100.45,4,0.463,2587202,86
61,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd","37BZB0z9T8Xu7U3e65qxFy",0.0215,0.65,191014,0.825,2.44e-05,0,0.0936,-4.645,1,0.0325,118.091,4,0.593,2583434,92
62,"Blinding Lights","The Weeknd","0VjIjW4GlUZAMYd2vXMi3b",0.00146,0.514,200040,0.73,9.54e-05,1,0.0897,-5.934,1,0.0598,171.005,4,0.334,2543767,92
63,"Life Goes On","Oliver Tree","0eu4C55hL6x29mmeAjytzC",0.186,0.7,161803,0.49,0,0,0.117,-5.187,1,0.076,79.982,4,0.569,2536057,94
64,"Yonaguni","Bad Bunny","2JPLbjOn0wPCngEot2STUS",0.276,0.644,206710,0.648,0,1,0.135,-4.601,1,0.118,179.951,4,0.44,2459789,94
65,"Take My Breath","The Weeknd","6M3PsepEj5gyJoIi7Xvr7u",0.0106,0.747,220196,0.739,2.22e-05,8,0.101,-6.008,1,0.0487,120.996,4,0.523,2455323,83
66,"...And to Those I Love, Thanks for Sticking Around","$uicideboy$","30QR0ndUdiiMQMA9g1PGCm",0.124,0.792,168490,0.511,9.04e-05,2,0.14,-6.876,1,0.0409,113.983,4,0.111,2426381,87
67,"Thot Shit","Megan Thee Stallion","5zNW5ARjYhJQJz1AChP33n",0.0133,0.95,184635,0.693,0,9,0.173,-3.424,1,0.0898,130.02,4,0.891,2425700,84
68,"Miss The Rage (feat. Playboi Carti)","Trippie Redd","5gZYpjakt37G3c58FKcQwJ",0.0151,0.581,236883,0.877,0,8,0.826,-4.938,1,0.114,77.006,4,0.353,2417519,76
69,"range brothers (with Kendrick Lamar)","Baby Keem","0UTyLmkQgPOEIz95OVAJTR",0.00466,0.667,316733,0.582,0,11,0.124,-5.791,0,0.267,121.972,4,0.141,2414223,79
70,"favorite crime","Olivia Rodrigo","5JCoSi02qi3jJeHdZXMmR8",0.866,0.369,152667,0.272,0,9,0.147,-10.497,1,0.0364,172.929,4,0.218,2404843,88
71,"Love All (with JAY-Z)","Drake","4VCbgIdr8ptegWeJpqLVHH",0.354,0.73,228461,0.576,3.59e-05,2,0.15,-5.442,1,0.287,92.131,4,0.155,2390973,82
72,"September","Earth, Wind & Fire","4f2GB5ZC7vOUYPAg69N2Xw",0.131,0.684,221520,0.864,0.00526,9,0.344,-4.819,1,0.0312,125.395,4,0.978,2339439,54
73,"Leave The Door Open","Bruno Mars","7MAibcTli4IisCtbHKrGMh",0.182,0.586,242096,0.616,0,5,0.0927,-7.964,1,0.0324,148.088,4,0.719,2322431,90
74,"You Right","Doja Cat","0k4d5YPDr1r7FX77VdqWez",0.0164,0.828,186173,0.621,0.00233,8,0.0845,-6.414,1,0.0565,128.986,4,0.436,2321553,86
75,"Pipe Down","Drake","11pEKMLmavDu8fxOB5QjbQ",0.128,0.518,205721,0.69,0,9,0.176,-6.15,1,0.107,77.837,4,0.59,2297285,81
76,"Tell Em","Cochise","7nc7mlSdWYeFom84zZ8Wr8",0.103,0.672,180380,0.717,0,5,0.398,-7.476,1,0.226,157.905,4,0.473,2290280,85
77,"my ex's best friend (with blackbear)","Machine Gun Kelly","7kDUspsoYfLkWnZR7qwHZl",0.00473,0.731,139461,0.675,0,5,0.141,-5.134,0,0.0434,124.939,4,0.298,2264829,84
78,"V12 (feat. Lil Uzi Vert)","iann dior","4ZUNw5tDBZTOqzPEVIYyOy",0.411,0.705,177836,0.681,0,4,0.121,-3.286,0,0.148,164.941,4,0.626,2259237,78
79,"Cold Heart - PNAU Remix","Elton John","6zSpb8dQRaw0M1dK8PBwQz",0.034,0.796,202735,0.798,4.19e-05,1,0.0952,-6.312,1,0.0317,116.032,4,0.942,2247245,96
80,"Loverboy","A-Wall","0qXP5fMhxGzxALOkXYUxfP",0.649,0.604,224520,0.466,0.0334,0,0.093,-10.093,1,0.0315,120.045,4,0.499,2241965,80
81,"REPEAT IT (with Gunna)","Lil Tecca","4s6vwFgPdCtidpEw8KuQT6",0.0567,0.743,190345,0.687,0,11,0.062,-7.613,0,0.309,108.685,3,0.582,2233681,72
82,"Pain","PinkPantheress","7CIERzyqIwLVKGp00YbHRO",0.227,0.829,98544,0.617,0.00306,1,0.0618,-8.497,1,0.14,125.605,4,0.81,2231134,83
83,"IMY2 (with Kid Cudi)","Drake","7F9cT6hIRhnFCYP6GKS0tf",0.402,0.59,252379,0.493,0.00504,7,0.129,-8.704,0,0.0367,150.026,4,0.0498,2222869,80
84,"Rumors (feat. Cardi B)","Lizzo","6KgtcmCF9Ky68XC7ezxl3s",0.13,0.827,172833,0.731,0,4,0.418,-5.524,0,0.088,118.992,4,0.607,2219716,84
85,"Leave Before You Love Me (with Jonas Brothers)","Marshmello","4qu63nuBpdn0qHUHuObEj1",0.00226,0.721,154983,0.738,4.41e-06,7,0.118,-4.77,1,0.0403,119.976,4,0.637,2217652,89
86,"Heartbreak Anniversary","Giveon","3FAJ6O0NOHQV8Mc5Ri6ENp",0.524,0.449,198371,0.465,1.02e-06,0,0.303,-8.964,1,0.0791,89.087,3,0.543,2208063,86
87,"t r a n s p a r e n t s o u l feat. Travis Barker","WILLOW","5JKnYZOhSP7rOK0jPYcCjV",0.00213,0.374,168398,0.83,0,11,0.15,-5.203,0,0.0584,90.19,4,0.204,2204477,76
88,"brutal","Olivia Rodrigo","6SRsiMl7w1USE4mFqrOhHC",0.0311,0.672,143747,0.526,1.37e-06,4,0.28,-6.446,1,0.0599,123.999,4,0.28,2195081,85
89,"jealousy, jealousy","Olivia Rodrigo","0MMyJUC3WNnFS1lit5pTjk",0.198,0.695,173160,0.575,0,10,0.0614,-6.334,0,0.116,163.929,4,0.699,2189481,87
90,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","0RiRZpuVRbi7oqRdSMwhQY",0.533,0.755,157560,0.522,0,2,0.0685,-4.368,1,0.0575,89.96,4,0.925,2186258,81
91,"Circles","Post Malone","21jGcNKet2qwijlDFuPiPb",0.192,0.695,215280,0.762,0.00244,0,0.0863,-3.497,1,0.0395,120.042,4,0.553,2183939,87
92,"Jail","Kanye West","42ZrMq4BKsWDrrbMnMRYaK",0.535,0.458,297000,0.571,0.000305,4,0.0846,-6.739,1,0.0949,110.013,4,0.586,2169770,78
93,"Volví","Aventura","2vmfvSoZBFAt9hhRoEByLi",0.422,0.725,230125,0.86,0.000284,1,0.0674,-3.726,1,0.182,175.896,4,0.791,2153550,93
94,"YKWIM?","Yot Club","2vWBUC9djv6BtiGlmKiQaH",0.937,0.372,212750,0.537,0.873,9,0.287,-7.623,1,0.0305,123.735,3,0.228,2141551,85
95,"Mood (feat. iann dior)","24kGoldn","4jPy3l0RUwlUI9T5XHBW2m",0.174,0.701,140533,0.716,0,7,0.324,-3.671,0,0.0361,91.007,4,0.732,2134824,89
96,"Good Days","SZA","3YJJjQPAbDT7mGpX3WtQ9A",0.499,0.436,279204,0.655,8.1e-06,1,0.688,-8.37,0,0.0583,121.002,4,0.412,2125111,84
97,"The Spins","Mac Miller","51pshtuYkgUQnt5huMPbKL",0.0135,0.794,195873,0.766,0,9,0.0785,-3.894,0,0.0377,127.007,4,0.55,2122700,82
98,"Motley Crew","Post Malone","40uMIn2zJLAQhNXghRjBed",0.0904,0.797,184213,0.631,3.71e-06,3,0.0998,-3.818,0,0.0786,129.915,4,0.288,2122049,85
99,"Rich MF (feat. Polo G & Lil Durk)","Trippie Redd","6cUHiQEECDl5m3WFGQ1GCR",0.0849,0.756,247714,0.698,0,6,0.221,-5.464,1,0.178,77.497,4,0.66,2116676,81
